trajectory_index,u,v,x,y,z
0,-138.356936995451,-45.470131587518,-85.85953204063378,14.088872802479358,50.48215450405261
1,-137.25660099855426,-46.861858009950545,-86.10634590375477,42.54688950170619,50.02039848268964
2,-136.1562650016575,-48.25358443238309,-86.46102713613648,62.05105711969942,49.35683691185342
3,-135.05592900476074,-49.64531085481564,-86.53399234384229,109.53754729282693,49.22032868017577
4,-133.955593007864,-51.03703727724819,-86.67493145923125,145.7522439986985,48.9566502775387
5,-132.85525701096722,-52.42876369968074,-86.81399044702587,187.27621332155664,48.69648934440938
6,-131.75492101407048,-53.820490122113284,-87.0109499289244,223.94429918267267,48.32800426184084
7,-130.65458501717373,-55.212216544545825,-87.17375844947108,263.8518553599273,48.02341110106371
8,-129.55424902027696,-56.60394296697837,-87.2597711106044,306.4577415442423,47.862492813534985
9,-128.4539130233802,-57.99566938941092,-87.44808583763373,338.7286819844377,47.51018092141696
10,-127.35357702648346,-59.38739581184347,-87.78415332321094,358.78651768426107,46.88144320349733
11,-126.2532410295867,-60.77912223427602,-87.93454216867958,396.4474266045646,46.60008560849493
12,-125.15290503268994,-62.170848656708564,-87.94551232659958,444.3915662638342,46.57956189718144
13,-124.0525690357932,-63.56257507914111,-88.0250455152716,484.54642916499915,46.43212722264036
14,-122.95223303889644,-64.95430150157365,-88.45975511601189,478.41163169474953,45.626731414074804
15,-121.85189704199968,-66.34602792400621,-89.01914955623491,487.354909671693,44.20859047448657
16,-120.75156104510293,-67.73775434643875,-89.31289180104491,663.1426988652327,47.363315264886474
17,-119.65122504820617,-69.1294807688713,-90.11833678208933,633.4061246160067,45.75026760470668
18,-118.55088905130941,-70.52120719130384,-90.11791645283633,601.0986271610387,45.75165324435673
19,-117.45055305441267,-71.91293361373639,-91.26892544773928,538.2335208669231,41.95728564007017
20,-116.3502170575159,-73.30466003616894,-87.70505378638813,1073.574457993843,53.7057943290102
21,-115.24988106061915,-74.6963864586015,-90.15983282719567,837.1721478131183,45.6134734962725
22,-114.1495450637224,-76.08811288103404,-90.45998142150619,823.6485085374877,44.62401632628755
23,-113.04920906682564,-77.47983930346658,-89.91108713064715,946.4500236679439,46.43347804607974
24,-111.94887306992888,-78.87156572589913,-91.04773510957381,877.9279257171358,42.68645236008062
