vertex_index,x,y,z,geodesic_distance
0,-237.4790649,5.534142971,-3.897731949e-05,183.1844502
1,-237.4789581,5.534142971,38.76671219,183.1792785
2,-237.1831818,-6.329178333,-4.88726655e-05,183.2035377
3,-237.1831818,17.39746475,-4.88726655e-05,183.1663319
4,-237.1831055,17.39746475,38.76675034,183.1611324
5,-237.4790344,5.534142971,77.53331757,183.1637343
6,-237.1831055,-6.329178333,38.76675034,183.1983965
7,-237.1831818,17.39746475,77.53335571,183.1455155
8,-236.2964172,-18.16299438,-6.498494622e-05,183.2235886
9,-236.2964172,29.23128128,-6.498494622e-05,183.1491881
10,-236.2962952,29.23128128,38.76668549,183.1439625
11,-236.2963715,29.23128128,77.53329468,183.1282773
12,-237.1902008,-6.186752796,116.3000031,183.1567982
13,-237.1831818,-6.329178333,77.53335571,183.1829323
14,-237.4790039,5.676717281,116.3000031,183.1375173
15,-237.4755096,5.53423214,116.3000412,183.1377427
16,-236.2962952,-18.16299438,38.76668549,183.2184819
17,-237.1760406,17.53988838,116.2999802,183.1192244
18,-237.1796112,17.39737511,116.3000336,183.119438
19,-234.8208466,-29.93792152,-5.564205276e-05,183.2445967
20,-234.8208466,41.00620651,-5.564205276e-05,183.1330235
21,-234.8207397,41.00620651,38.76669312,183.1277728
22,-234.8207092,41.00620651,77.53337097,183.1120207
23,-236.2820892,29.37316895,116.3000183,183.1019161
24,-236.2928467,29.23101234,116.3000183,183.102118
25,-237.179718,-6.328909874,116.2999649,183.1570356
26,-232.9453583,-5.977451324,162.8417206,183.1110933
27,-236.3105164,-18.02110672,116.2999954,183.177071
28,-236.2963715,-18.16299438,77.53329468,183.2031081
29,-233.2289734,5.674183846,162.8416595,183.0917527
30,-234.8207397,-29.93792152,38.76669312,183.2395294
31,-232.9314575,17.32549095,162.8416443,183.0734066
32,-232.7600708,-41.62463379,3.345106234e-05,183.2665545
33,-232.7600708,52.69292068,3.345106234e-05,183.117843
34,-232.7600403,52.69292068,38.76671219,183.1125671
35,-232.7601166,52.69292068,77.5333252,183.0967474
36,-234.7994537,41.14720154,116.3000183,183.0855891
37,-234.8172913,41.00576019,116.3000259,183.0857792
38,-232.0535278,28.94747353,162.841629,183.0560432
39,-232.0813904,-17.60050583,162.8416443,183.1314412
40,-228.9789581,5.671620846,209.3833618,183.0290156
41,-228.7005768,-5.768149376,209.383316,183.0482113
42,-236.2928467,-18.16257858,116.3000183,183.1773204
43,-234.8419952,-29.79689789,116.2999725,183.1983398
44,-234.8207092,-29.93792152,77.53337097,183.22426
45,-228.6868744,17.11112404,209.383316,183.0108029
46,-232.7600403,-41.62463379,38.76671219,183.2615328
47,-227.8248901,28.5217762,209.3833466,182.9935519
48,-230.1194763,-53.19413376,-4.928664202e-05,183.2894535
49,-230.1194763,64.26239014,-4.928664202e-05,183.1036512
50,-230.1193695,64.26239014,38.76670074,183.0983494
51,-230.1194458,64.26239014,77.53330994,183.082459
52,-232.7318115,52.83266449,116.3000031,183.0702412
53,-232.7565918,52.69232559,116.3000412,183.0704194
54,-230.59729,40.51124954,162.8416595,183.0396523
55,-226.3951569,39.87529755,209.3833618,182.9772433
56,-230.6390076,-29.1659832,162.8417053,183.1528096
