point_index,u,v,x,y,z,source_geodesic_distance
0,-0.7256413695,-0.2946626814,467.6939279,371.5024285,842.896439,405.3547191
1,-0.7244776107,-0.2971523559,473.5583908,370.025161,842.8352814,405.2745634
2,-0.7193607135,-0.3081585063,479.9130058,368.1316185,847.744278,405.1579001
3,-0.7230875792,-0.3001252445,480.8444961,368.1940202,842.6872452,405.1754082
4,-0.717250288,-0.3126857484,486.513894,366.4080543,848.7083698,405.0614904
5,-0.7187616417,-0.3094247332,487.9687506,366.1782656,846.3705654,405.0555208
6,-0.711821084,-0.3243621049,493.7629102,364.2789728,853.7819981,404.9315602
7,-0.721057535,-0.3044692853,490.7183161,365.7014238,842.6754474,405.0399062
8,-0.7136350556,-0.3204451295,496.4934613,363.7700384,850.713775,404.9124508
9,-0.7163895536,-0.3145092726,496.7023603,363.9297339,847.1039539,404.9312098
10,-0.6826539217,-0.3481738936,555.7123978,324.9104078,853.3113579,396.6366895
11,-0.6772759176,-0.3402194794,554.4557893,322.2722987,849.9258355,392.2310077
12,-0.6777396547,-0.3605732954,561.64118,320.5615367,859.1258149,397.3257256
13,-0.6390276455,-0.3350800788,563.6402845,297.0756602,851.6135483,373.4625879
14,-0.6351811668,-0.3508430931,568.5164283,293.5256368,858.366816,375.734471
15,-0.6304770002,-0.3280961105,563.9815061,291.2705434,849.9930032,367.7828544
16,-0.6289069354,-0.3464388672,568.9467778,289.2302311,857.4628378,371.7507798
17,-0.6260605465,-0.3379680685,567.5250316,287.6029327,854.4908943,368.2908524
18,-0.6254672378,-0.3622791784,573.7429982,285.9690336,864.1922929,374.2277694
19,-0.6217846083,-0.3331252893,567.3583464,284.7669977,853.1460757,365.1058104
20,-0.6217191581,-0.3607797493,574.2827556,283.3468772,864.1001324,372.1369213
21,-0.5880692861,-0.2517962441,554.3335526,269.1490445,819.8830766,331.0613238
22,-0.6014049758,-0.2602549429,553.9634038,276.7921151,823.1543409,339.1082129
23,-0.5861490844,-0.2648624181,556.8256538,267.1731706,825.0390395,332.8716996
24,-0.6016431581,-0.269995953,555.5941308,276.3409407,826.9905569,341.2452601
25,-0.7566166203,-0.2000736703,497.2845893,362.8404469,787.9281311,404.9887099
26,-0.7232343623,-0.2992998896,492.3135929,365.5531384,839.4433565,405.0363489
27,-0.7252951745,-0.2951610458,479.0602451,368.813068,840.3150417,405.2136625
28,-0.7263872395,-0.2920969995,485.8883388,367.3723787,837.0890049,405.1377559
29,-0.7275630946,-0.2897955411,477.3706431,369.4510021,837.840807,405.2506467
30,-0.7281612188,-0.287530791,490.4407337,366.5278196,833.5896686,405.094648
31,-0.763998898,-0.1811528238,464.7381389,381.3420611,783.2059322,406.2865081
32,-0.7605398584,-0.1924955613,469.6742568,378.5436719,789.0832724,406.0582907
33,-0.7613266516,-0.1897289338,471.4566377,377.7781435,787.2537209,406.070399
34,-0.7560914229,-0.2070904047,475.9020745,375.0028576,796.6621029,405.7664424
35,-0.7615324418,-0.1888293927,474.6614947,376.2562124,786.3107344,406.0360448
36,-0.6595105252,-0.05524712875,513.0501504,325.5539522,704.7259774,342.4807951
37,-0.6530993625,-0.05322200888,514.4403498,322.601242,704.9092632,339.0987513
38,-0.1745634975,-0.215519691,437.9820325,81.40382585,799.3403535,144.1515637
39,-0.1823080261,-0.2252086034,441.6663403,82.76128079,804.2937045,150.1998083
40,-0.1837669981,-0.2070356479,443.1412514,83.70518971,795.8402205,143.951305
41,-0.1881054942,-0.2124859279,445.204326,84.46486239,798.6256733,147.3478663
42,-0.1872774146,-0.1878238868,445.7328665,85.13274017,787.006597,137.9730185
43,-0.1940535543,-0.2139933518,448.2656926,85.71163491,799.6447585,149.8009376
44,-0.1921238184,-0.1858330189,448.3529193,86.25937056,786.3259762,138.782523
45,-0.1961174006,-0.1968412012,450.0180502,86.75247859,791.7020945,144.1223771
46,-0.198141938,-0.1617395519,452.0446921,88.62936505,775.8135588,132.4418832
47,-0.1978777578,-0.1976894171,450.8737982,87.1269621,792.2334166,145.0515758
48,-0.2029993141,-0.1812516672,453.7160375,89.08265072,785.3626147,141.3802852
49,-0.2030054453,-0.2001747128,453.166686,88.32866144,794.0240829,148.0784961
50,-0.1611483286,-0.01801618441,457.86884,96.79876683,691.153847,84.08769619
51,-0.1551736521,-0.01324889533,456.8619067,95.64009889,687.1736643,80.67102696
52,-0.1504397286,-0.02361439255,451.2143791,92.19223199,696.7789333,78.98906028
53,-0.3200116779,-0.3307211001,505.635661,120.4564971,859.7195013,238.217601
54,-0.322791197,-0.3123484441,506.7456108,122.4570491,851.1866598,232.5674238
55,-0.3280027385,-0.3341310742,509.8631348,123.9666603,860.4212481,242.3128521
56,-0.3835707052,-0.1970172235,526.1209812,163.2318987,793.2638407,223.3368532
57,-0.3888803423,-0.1978349371,527.7675628,166.0713496,793.2248122,225.9692424
58,-0.38937794,-0.1807839832,527.2335718,169.0765843,784.5604743,222.5396341
59,-0.395553239,-0.1991106459,529.8468756,169.6001661,793.3011892,229.3307438
60,-0.3942631548,-0.1779804257,528.6056347,172.2577449,782.7264967,224.1983567
61,-0.3980339751,-0.1865569247,530.0963349,172.9955525,786.7418955,227.784069
62,-0.3953867676,-0.1604270197,528.2417121,175.6935288,773.7547387,220.9505703
63,-0.4059519814,-0.2088336907,533.3980291,173.8622879,797.3314857,236.229423
64,-0.4774336018,-0.3261332047,560.8441359,198.971464,851.0571552,299.331113
65,-0.4808836234,-0.3277557497,561.750229,201.0772834,851.4666786,301.2556876
66,-0.479153112,-0.3043301475,558.6625245,203.295074,840.0277829,293.9870695
67,-0.4852491888,-0.3301363435,562.9349099,203.6945153,852.1475646,303.7822784
68,-0.4819009561,-0.3009279692,558.8375129,205.6520358,838.0217412,294.2113
69,-0.3055994691,-0.02114657697,509.1015861,155.8054259,686.6855007,158.5382275
70,-0.3039028944,-0.02739347194,507.855372,153.905097,692.3311892,157.9691403
71,-0.2892119828,-0.01899285056,504.9134344,148.610126,685.5743837,149.9849893
72,-0.2927065283,-0.02666298777,504.9008454,148.856747,692.2318244,152.1615804
73,-0.2849856372,-0.02320505723,503.2344857,145.9030299,689.5329092,148.0122716
74,-0.2921610289,-0.03333583197,503.914313,147.4127727,698.2001222,152.2067153
75,-0.04967399996,-0.7698762188,385.4236748,200.9534453,1085.313051,399.5691958
76,-0.04038054158,-0.7709245573,379.5505481,203.3630386,1088.414931,399.9428392
77,-0.03224511882,-0.7718072215,375.5075374,202.9008724,1087.631038,400.3083233
78,-0.02885287778,-0.7722263728,372.2200484,206.458298,1092.407289,400.4047201
79,-0.01883286661,-0.7732452406,369.3799983,200.8795806,1084.624989,400.9296746
80,-0.01718663359,-0.7734788273,366.8388956,204.8202453,1089.956007,400.9433904
81,-0.01131915233,-0.7740963241,364.5216932,203.0850712,1087.483036,401.2279205
82,-0.01108757425,-0.7741862743,362.3749653,207.82879,1093.933784,401.1672912
83,-0.002673689632,-0.7750296995,360.3702003,202.2544536,1086.188044,401.6213875
84,-0.003320540144,-0.7750301789,358.4771297,207.4762923,1093.306144,401.5149003
85,0.002029201325,-0.7755830057,356.6835298,205.1470069,1090.034581,401.7854818
86,0.0005210119603,-0.7754979285,354.9710624,210.997158,1098.024085,401.6316473
87,0.01110691674,-0.7765307725,353.3359905,201.9064969,1085.45202,402.2339873
88,0.009082868922,-0.7763935317,351.7606311,208.0651762,1093.871191,402.0528082
89,0.01435346944,-0.7769301489,350.2452706,205.1810062,1089.846059,402.3281874
