sample_index,source_index,u,v,x,y,z
0,0,0.2784893198,-0.3794874149,458.6206665,373.9222412,840.710022
1,1,0.3400700369,-0.3537502481,495.1818848,364.6195374,841.9068604
2,2,0.3602653419,-0.3375738358,503.2131653,361.5814819,859.0690918
3,3,0.4197864312,-0.2541732775,549.7401733,328.4132996,846.9233398
4,4,0.4199286934,-0.2286569399,554.0210571,319.6972961,847.7491455
5,5,0.4274898286,-0.2051020724,566.7570801,319.8643188,865.9910889
6,6,0.4372687404,-0.2260913446,560.9176636,301.830719,848.8873291
7,7,0.4415889967,-0.1443767934,565.9822998,282.9500732,850.1785278
8,8,0.4329131656,-0.1068909033,579.2985229,282.631012,872.1526489
9,9,0.4212452338,-0.1069383146,553.1328125,266.8547363,815.6156616
10,10,0.4404260093,-0.1264633517,558.1864014,265.4315796,827.4902954
11,11,0.4116209807,-0.1697405151,554.1066895,284.9083557,827.9713745
12,12,0.3104559688,-0.3607118601,498.9490662,362.5997925,795.2184448
13,13,0.3118791674,-0.3857844698,495.4350891,363.9050903,784.8070679
14,14,0.3230409308,-0.3833436215,498.8097839,361.0979309,785.1018066
15,15,0.3271383565,-0.3620370287,491.2024536,366.3958435,832.8955688
16,16,0.2588864651,-0.3991227322,460.1119385,383.6439514,782.873291
17,17,0.2938300791,-0.3967178926,474.6528625,376.4282532,783.6037598
18,18,0.2809833105,-0.3741703216,480.3108521,372.3630981,804.1755981
19,19,0.3773522353,-0.3692350175,511.5985413,328.7583313,700.194458
20,20,0.3872249454,-0.3825335088,515.4709473,320.5536804,699.9841919
21,21,0.3760064098,-0.3705238186,513.9580688,323.3570251,714.4595947
22,22,0.2009142444,0.2163481439,434.1659546,79.53884888,806.1702881
23,23,0.2157018768,0.1941355561,451.6851501,86.97900391,804.0466919
24,24,0.2105279238,0.1838992443,449.1533508,87.00118256,775.7562866
25,25,0.2406979972,0.1761163349,457.6089783,91.83395386,774.5349121
26,26,0.2648135232,0.05387303899,463.9759521,100.9125671,684.8000488
27,27,0.2622810883,0.04969397059,455.2622681,94.17675781,684.7999878
28,28,0.2371937032,0.08948901114,447.4246216,89.98425293,704.3308105
29,29,0.3260028245,0.213519692,502.8311768,117.6513062,863.1043091
30,30,0.3209673611,0.210194878,510.8260498,124.5858231,862.0383301
31,31,0.330579941,0.2081886764,508.1586304,124.4359436,844.9122314
32,32,0.3843441337,0.09237168766,524.6362915,158.8716125,797.2772217
33,33,0.4173660518,0.06543171405,533.725769,174.328476,797.5424805
34,34,0.4051472725,-0.00762888639,528.5553589,177.5847321,770.7629395
35,35,0.4513522922,0.07633132668,561.3080444,195.7427826,855.87146
36,36,0.4358467944,0.08159205948,564.4607544,204.996933,855.236084
37,37,0.4460735217,0.04105322188,555.3634644,206.8791962,826.5073853
38,38,0.3924749112,0.002414922329,511.9447327,160.5836792,684.8000488
39,39,0.3722134847,0.050172635,500.8170166,141.5850067,684.7999878
40,40,0.3748950425,0.0315153473,504.1574707,147.9753876,701.8617554
41,41,0.1020440168,0.4556244542,393.4456787,200.4399872,1084.899536
42,42,0.01412378425,0.4473672436,345.3144836,200.7687836,1083.592896
43,43,-0.003413353102,0.4052152399,345.3102417,214.8587799,1102.986084
44,44,0.1415232048,0.3785621989,391.4573364,163.35112,1035.36731
45,45,-0.001807146994,0.3606774303,345.3303223,147.882431,1014.728699
46,46,-0.004146473842,0.4378868979,345.319397,184.3308411,1061.476685
47,48,0.4391781277,0.3312752718,618.9497681,204.8526306,1129.730103
48,50,0.4603675622,0.2976398487,626.1184692,206.9872742,1108.366333
49,51,0.4534811783,0.3014369468,624.5634766,204.8934937,1109.927612
50,52,0.4470390075,0.310882104,625.5932617,208.006485,1120.955811
51,53,0.4253519705,0.3344598287,600.6004028,187.3681183,1101.722778
52,56,0.4645544224,0.2741839211,618.6785889,200.3666382,1068.829102
53,57,0.4633087687,0.2829074326,622.3449097,203.4066772,1082.262085
54,58,0.4680349115,0.2601778463,625.6408691,212.7581177,1075.381714
55,59,0.3679146006,0.3420927049,556.2111206,172.1961517,1071.36853
56,60,0.3369808315,0.3361316796,533.2647095,174.6148376,1069.359253
57,61,0.3337979183,0.3510707797,535.446106,181.3365631,1082.289062
58,62,0.4187559374,0.3275033294,595.4621582,182.3614349,1089.902832
59,63,0.4225493665,0.3177608656,593.9962769,180.2269745,1083.264282
60,64,0.4067427754,0.3219439131,588.3418579,178.5889587,1084.428101
61,65,0.4595222941,0.2870534535,619.723877,199.0393982,1085.477295
62,66,0.4451465231,0.2823931739,604.8938599,184.7932281,1063.155029
63,67,0.4442168584,0.2956623243,600.5578613,181.3858032,1065.485107
64,68,0.4389555039,0.3015264497,604.3723755,185.1026306,1079.782959
65,69,0.4817034797,0.2240453218,621.1771851,215.4817963,1041.931396
66,70,0.4770678305,0.1676139569,627.5491333,234.0774994,1029.055542
67,71,0.4770274549,0.1503331313,618.440979,226.31604,1002.323486
68,72,-0.002227541901,0.3337879468,345.3434753,103.933403,946.1785889
69,73,-0.002167814634,0.3468129873,345.3388977,119.2338486,973.1660156
70,74,0.08549129248,0.3336377693,388.4833069,120.1036835,973.3307495
71,75,0.1180550543,0.3564209084,389.283905,130.471817,989.8464966
72,76,0.08789987591,0.3589400508,390.0531311,141.3302002,1005.737976
73,77,0.2181507818,0.3462715165,434.5458374,142.1331329,1006.431885
74,78,0.3224829394,0.2901527744,516.0186768,136.1818237,982.6337891
75,79,0.3231706768,0.289846917,514.2266235,133.1791077,973.6741333
76,80,0.3003274328,0.308736527,494.3181152,129.1061859,973.9054565
77,81,-0.004991037613,0.3033018867,345.3469543,92.33306885,921.8145142
78,82,0.07673528634,0.3237120204,386.8285522,101.6839447,939.0415649
79,83,0.2007461017,0.2939235848,444.2325745,96.18993378,903.0264282
80,84,0.1697863026,0.3001008309,424.6852112,92.32337189,903.6695557
81,85,0.1402878541,0.3029528568,426.3292542,98.46495819,921.1473389
82,86,0.3906103061,0.2977222824,548.7097168,151.44104,1017.576416
83,87,0.3876859588,0.3114435319,550.824646,154.1805115,1025.96936
84,88,0.3965053517,0.3010899883,556.0253296,154.8040314,1025.902588
85,89,0.3826768628,0.2625190736,548.7678833,144.2949219,961.9858398
86,90,0.3829381096,0.2610966739,551.3261719,145.7444305,971.3451538
87,91,0.3882961767,0.253788147,555.8162231,148.6385193,970.3220825
88,92,0.3649124829,0.2572704649,541.9262695,140.3241425,953.2935791
89,93,0.3557097034,0.2548747677,537.5863037,137.969986,953.8550415
90,94,0.3670841518,0.2671307684,539.8890991,139.5083771,963.3047485
91,95,0.3565152585,0.2503911156,528.8641968,133.6648712,915.7695312
92,96,0.3717635523,0.2388699889,536.6676636,139.7372131,914.5884399
93,97,0.3650759307,0.2290896382,532.4037476,139.1114807,895.8983765
